date,product_id,price
2019-11-20,6507,465
2019-11-20,1000,790
2019-11-20,2421,362
2019-11-20,6370,79
2019-11-20,25213,65
2019-11-20,279660,150
2019-11-20,248791,106
2019-11-20,372188,252
2019-11-20,364938,850
2019-11-21,6507,465
2019-11-21,1000,790
2019-11-21,2421,362
2019-11-21,6370,79
2019-11-21,25213,65
2019-11-21,279660,150
2019-11-21,248791,106
2019-11-21,372188,252
2019-11-21,364938,850
2019-11-22,6507,465
2019-11-22,1000,790
2019-11-22,2421,362
2019-11-22,6370,79
2019-11-22,25213,65
2019-11-22,279660,150
2019-11-22,248791,106
2019-11-22,372188,252
2019-11-22,364938,850
2019-11-25,6507,465
2019-11-25,1000,790
2019-11-25,2421,362
2019-11-25,6370,79
2019-11-25,25213,65
2019-11-25,279660,150
2019-11-25,248791,106
2019-11-25,372188,252
2019-11-25,364938,850
